County,Studio,OneBR,TwoBR,ThreeBR,FourBR
Alamance,619,698,891,1126,1208
Alexander,589,592,724,943,1085
Alleghany,557,561,738,912,1250
Anson,535,612,805,995,1211
Ashe,569,573,724,901,1208
Avery,645,649,854,1056,1158
Beaufort,571,575,724,997,1100
Bertie,547,550,724,925,1120
Bladen,547,550,724,997,1136
Brunswick,786,813,926,1315,1585
Buncombe,1188,1209,1378,1879,2359
Burke,589,592,724,943,1085
Cabarrus,996,1014,1155,1497,1942
Caldwell,589,592,724,943,1085
Camden,782,797,982,1328,1600
Carteret,692,696,916,1264,1568
Caswell,589,635,724,996,1036
Catawba,589,592,724,943,1085
Chatham,1024,1030,1199,1546,1812
Cherokee,579,583,767,1000,1151
Chowan,681,685,857,1059,1467
Clay,668,721,821,1015,1296
Cleveland,504,550,724,976,1160
Columbus,547,550,724,946,1143
Craven,764,771,984,1319,1684
Cumberland,771,784,913,1262,1546
Currituck,993,1015,1193,1676,2042
Dare,866,895,1054,1415,1658
Davidson,553,556,724,973,1239
Davie,623,664,808,1075,1249
Duplin,556,560,737,911,1054
Durham,1024,1030,1199,1546,1812
Edgecombe,625,639,813,1106,1198
Forsyth,623,664,808,1075,1249
Franklin,1038,1073,1223,1517,1982
Gaston,996,1014,1155,1497,1942
Gates,663,677,795,1023,1317
Graham,547,550,724,895,1143
Granville,666,670,863,1093,1349
Greene,547,550,724,989,1239
Guilford,810,836,952,1243,1424
Halifax,614,618,813,1005,1201
Harnett,646,651,856,1216,1465
Haywood,637,822,937,1165,1422
Henderson,1188,1209,1378,1879,2359
Hertford,619,623,820,1014,1191
Hoke,642,646,771,1095,1320
Hyde,587,591,739,956,1167
Iredell,798,812,925,1232,1583
Jackson,626,637,726,1030,1146
Johnston,1038,1073,1223,1517,1982
Jones,547,550,724,988,992
Lee,671,723,824,1030,1196
Lenoir,505,578,760,1025,1201
Lincoln,669,673,816,1054,1132
McDowell,593,597,724,895,1127
Macon,660,695,811,1003,1388
Madison,1188,1209,1378,1879,2359
Martin,558,561,724,996,1239
Mecklenburg,996,1014,1155,1497,1942
Mitchell,547,550,724,895,1143
Montgomery,558,561,724,895,1083
Moore,695,744,848,1168,1451
Nash,625,639,813,1106,1198
New Hanover,814,988,1164,1545,1992
Northampton,572,575,757,936,1027
Onslow,634,737,876,1244,1499
Orange,1024,1030,1199,1546,1812
Pamlico,639,644,847,1047,1450
Pasquotank,581,665,875,1234,1384
Pender,645,772,902,1235,1431
Perquimans,651,655,862,1175,1475
Person,589,593,780,1054,1058
Pitt,730,734,910,1249,1558
Polk,710,713,823,1017,1195
Randolph,810,836,952,1243,1424
Richmond,624,635,724,1020,1239
Robeson,547,550,724,919,1021
Rockingham,581,585,755,991,1129
Rowan,707,712,874,1144,1185
Rutherford,563,567,724,895,1060
Sampson,547,550,724,930,1121
Scotland,547,550,724,912,982
Stanly,517,641,747,998,1256
Stokes,623,664,808,1075,1249
Surry,583,587,724,946,1184
Swain,575,579,724,986,1143
Transylvania,706,711,935,1156,1364
Tyrrell,651,702,800,1072,1263
Union,996,1014,1155,1497,1942
Vance,631,640,741,1006,1175
Wake,1038,1073,1223,1517,1982
Warren,555,558,724,946,1239
Washington,575,579,724,980,1239
Watauga,665,741,913,1180,1441
Wayne,641,645,849,1049,1429
Wilkes,589,610,724,998,1127
Wilson,595,680,823,1029,1116
Yadkin,623,664,808,1075,1249
Yancey,528,566,724,977,1154
