County,2022,2021,2020,2019,2018,2017,2016,2015
"Alamance",48980,48218,44223,41182,39318,37907,36896,36228
"Alexander",48035,46049,42020,39092,37082,36114,33872,33631
"Alleghany",44464,44417,41553,39432,37287,35864,35029,34408
"Anson",50187,47342,42032,40772,37416,36359,33706,33698
"Ashe",44433,44051,40730,37464,35348,33987,32914,31709
"Avery",45653,44675,40161,36363,35027,33649,31966,31071
"Beaufort",54554,54638,49644,46080,43076,42031,40317,39097
"Bertie",49409,48666,41403,38959,36383,36458,34475,33532
"Bladen",48424,48614,43041,39145,36727,36812,34675,34435
"Brunswick",58281,57611,53840,49430,46959,44875,43220,40562
"Buncombe",61560,58883,52847,50478,47569,45119,43223,41943
"Burke",44631,44126,41095,37543,35483,34339,32700,31656
"Cabarrus",54754,52883,49313,46141,44314,43019,41883,40565
"Caldwell",44761,44196,40096,37101,35305,34186,32365,31686
"Camden",56906,55169,52318,49048,46195,45709,44808,43334
"Carteret",63531,62138,57425,53012,49705,47997,46920,44905
"Caswell",41155,41671,38126,35977,33986,33293,32053,31136
"Catawba",55223,53670,48940,45856,44131,42729,40988,39708
"Chatham",79769,76790,70275,65951,61756,59043,57877,54809
"Cherokee",40021,39646,36538,34125,32209,31089,29834,30474
"Chowan",51005,50638,45733,42394,40472,39208,36599,36070
"Clay",43753,43764,40588,36839,33955,32640,31797,31782
"Cleveland",45126,44548,40777,38247,36505,35506,33906,33676
"Columbus",44109,44261,39746,36074,33792,32637,31597,30563
"Craven",54327,53991,49475,46130,43458,41748,41265,40702
"Cumberland",46024,46001,42554,39179,37763,36510,35564,35710
"Currituck",59381,57334,52882,49217,46115,45214,44073,42652
"Dare",76100,72122,64544,59714,54738,53251,51748,48927
"Davidson",48523,48005,43984,40791,38828,37631,36106,35159
"Davie",60579,58880,53010,50497,47917,46506,44154,43432
"Duplin",52760,52536,44157,41279,38323,39049,35859,36582
"Durham",59070,57849,53973,51984,49558,47107,45370,44417
"Edgecombe",43507,44090,40426,37042,35448,34173,32906,32320
"Forsyth",57781,56273,51667,48885,46713,46340,44558,44075
"Franklin",46330,45785,41803,38449,37008,35264,33752,32694
"Gaston",49674,48748,44808,41313,39354,38945,37425,36949
