County,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Alamance ,869,828,714,619,636,601,561,587,652,635,548
Alexander ,818,806,646,589,557,569,546,553,562,548,511
Alleghany ,717,651,589,557,522,506,510,510,509,534,511
Anson ,834,751,645,535,534,573,578,578,530,534,484
Ashe ,713,674,619,569,531,506,510,510,480,477,441
Avery ,798,776,706,645,595,562,571,595,556,587,520
Beaufort ,759,668,623,571,579,547,566,557,530,501,489
Bertie,797,683,582,547,530,573,578,578,530,481,464
Bladen ,704,687,617,547,522,506,510,510,480,481,464
Brunswick ,1057,951,820,786,698,664,702,729,729,671,639
Buncombe ,1286,1428,1270,1188,1096,821,794,655,709,588,510
Burke ,818,806,646,589,557,569,546,553,562,548,511
Cabarrus ,1586,1347,1154,996,987,907,875,777,703,653,636
Caldwell ,818,806,646,589,557,569,546,553,562,548,511
Camden ,982,787,704,782,868,859,872,844,819,665,643
Carteret ,923,820,757,692,638,624,664,681,659,665,662
Caswell ,780,713,635,589,589,573,547,553,519,481,464
Catawba ,818,806,646,589,557,569,546,553,562,548,511
Chatham ,1548,1385,1128,1024,972,919,834,731,710,639,597
Cherokee,714,659,613,579,545,513,564,573,530,455,464
Chowan ,854,787,737,681,643,629,656,631,541,546,511
Clay ,856,775,695,668,661,614,612,624,581,534,511
Cleveland ,705,652,582,504,494,496,548,595,534,527,498
Columbus,710,647,582,547,547,527,522,516,468,467,511
Craven ,996,928,829,764,728,702,675,685,619,680,453
Cumberland ,1078,1120,898,771,726,719,745,674,675,661,601
Currituck,1475,1279,1116,993,960,952,919,907,934,947,894
Dare ,1090,1000,915,866,837,785,766,730,667,639,622
Davidson,790,768,656,553,558,572,578,566,524,517,474
Davie ,945,897,774,623,624,580,558,573,597,556,540
Duplin ,739,683,623,556,527,506,536,555,530,522,499
Durham ,1548,1385,1128,1024,972,919,834,731,710,639,597
Edgecombe ,855,825,712,625,600,568,552,550,585,536,530
Forsyth ,945,897,774,623,624,580,558,573,597,556,540
Franklin ,1533,1427,1213,1038,1013,962,846,741,695,644,663
Gaston ,1586,1347,1154,996,987,907,875,777,703,653,636
Gates ,1069,905,779,663,622,585,566,566,530,534,503
Graham ,780,713,582,547,536,560,541,515,480,506,464
Granville,1140,1013,865,666,626,617,614,621,587,545,550
Greene ,746,665,582,547,522,506,510,511,480,526,464
Guilford ,999,1011,893,810,722,686,612,625,578,538,518
Halifax ,638,600,564,614,564,555,591,588,547,534,470
Harnett ,791,851,712,646,595,592,591,592,524,506,512
Haywood ,987,1068,686,637,587,652,612,509,548,534,625
Henderson ,1286,1428,1270,1188,1096,821,794,655,709,588,510
Hertford ,682,661,640,619,579,562,546,529,498,476,511
Hoke ,747,793,657,642,617,608,624,519,508,498,491
Hyde ,765,705,629,587,594,659,732,741,703,649,620
Iredell ,1206,1046,896,798,791,748,743,701,682,703,583
Jackson ,836,776,674,626,615,583,587,578,530,509,508
Johnston ,1533,1427,1213,1038,1013,962,846,741,695,644,663
Jones ,751,670,582,547,549,522,510,510,500,481,511
Lee ,922,842,736,671,660,625,627,631,587,571,568
Lenoir ,735,650,582,505,515,505,488,479,465,468,383
Lincoln,1018,944,794,669,678,654,660,620,564,610,511
McDowell,780,713,541,593,584,569,578,578,499,491,464
Macon,722,802,725,660,621,586,593,582,537,522,532
Madison,1286,1428,1270,1188,1096,821,794,655,709,588,510
Martin ,704,683,607,558,538,506,510,553,519,481,511
Mecklenburg ,1586,1347,1154,996,987,907,875,777,703,653,636
Mitchell ,704,647,582,547,522,507,512,553,519,481,464
Montgomery ,760,691,607,558,533,530,552,560,523,523,496
Moore ,986,863,774,695,643,666,662,659,557,642,638
Nash ,855,825,712,625,600,568,552,550,585,536,530
New Hanover ,1083,1027,853,814,754,675,715,737,705,686,639
Northampton,777,719,650,572,522,506,510,510,480,481,470
Onslow ,879,904,667,634,691,704,663,669,662,652,624
Orange ,1548,1385,1128,1024,972,919,834,731,710,639,597
Pamlico ,900,860,762,639,624,589,564,581,521,518,464
Pasquotank ,903,717,626,581,576,585,596,654,617,621,618
Pender ,740,752,683,645,610,547,607,674,592,565,493
Perquimans,753,794,683,651,656,657,665,633,589,588,545
Person,790,718,636,589,571,545,457,449,445,457,453
Pitt,878,925,813,730,700,616,607,592,622,579,530
Polk ,836,787,757,710,626,564,597,610,577,547,547
Randolph ,999,1011,893,810,722,686,612,625,578,538,518
Richmond ,767,720,642,624,594,573,572,558,522,534,511
Robeson ,718,645,582,547,505,477,512,510,480,481,482
Rockingham,714,633,545,581,534,511,510,510,480,481,497
Rowan,1044,925,800,707,715,653,621,579,550,527,521
Rutherford,803,733,643,563,522,506,510,545,530,603,511
Sampson,709,684,606,547,522,509,519,541,476,400,376
